Date,AA UN Equity,AXP UN Equity,BA UN Equity,BAC UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DD UN Equity,DIS UN Equity,GE UN Equity,HD UN Equity,HPQ UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,PFE UN Equity,PG UN Equity,T UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,VZ UN Equity,WMT UN Equity,XOM UN Equity
2011/2/11,17.37,46.75,72.14,14.77,103.54,18.71,96.45,54.58,43.41,21.33,37.48,48.64,163.85,21.76,60.7,46.57,31.785,76.14,91.8,33.07,27.27,18.81,64.73,28.47,58.99,42.38,85.2,36.39,55.69,82.82
2011/2/14,17.59,46.52,72.26,14.89,103.26,18.81,96.95,54.52,43.24,21.5,37.58,48.31,163.22,21.57,60.7,46.54,31.57,76.24,91.9,32.82,27.23,19.05,64.54,28.46,58.84,42.46,85.21,35.9,54.8,84.91
2011/2/15,17.4,46.19,71.4,14.77,103,18.67,96.34,54.11,43.09,21.46,37.69,47.99,162.84,21.45,60.62,46.82,31.61,76.15,92,32.79,26.96,19.05,63.92,28.24,59.35,42.03,84.93,36.46,54.95,82.97
2011/2/16,17.59,46.86,72.48,14.84,103.55,18.58,96.66,54.67,43.7,21.44,37.86,48.99,163.4,21.75,60.52,47.94,31.7,76.02,92.33,32.96,27.02,19.28,63.76,28.3,59.46,42.5,85.06,36.17,54.55,83.69
2011/2/17,17.52,45.78,72.24,14.81,103.36,18.68,97.17,55.59,43.7,21.52,38.18,48.62,164.24,21.97,60.79,47.82,32.275,75.98,92.73,33.1,27.21,19.37,64,28.5,59.78,42.59,84.54,36.37,54.75,83.88
2011/2/18,17.28,45.53,73.04,14.75,105.86,18.85,98.72,55.98,43.56,21.44,38.49,48.67,164.84,22.14,61.11,48,32.275,76.13,92.96,32.85,27.1,19.19,64.3,28.57,60.92,42.84,85.01,36.62,55.38,84.5
2011/2/22,16.54,44.29,70.93,14.18,102.01,18.59,100.32,54.38,42.65,20.82,38.09,48.23,161.95,21.81,60.65,46.01,31.88,75.7,92,32.34,26.59,18.89,64.07,28.2,60.53,42.96,83.56,36,53.67,85.44
2011/2/23,16.44,43.44,70.23,14.17,100.02,18.4,102.27,53.71,42.13,20.37,37.3,43.59,160.18,21.15,60.39,45.96,31.955,75.19,90.26,32.09,26.59,18.76,64.15,28.03,60.42,42.91,82.79,35.81,53.03,87.07
2011/2/24,16.55,43.56,70.76,13.97,100.57,18.35,102.03,53.04,42.42,20.58,37.14,42.17,160.77,21.285,60.25,45.91,31.94,75.21,90.03,32.03,26.76,18.9,63.05,27.92,59.33,42.75,82.72,35.58,52.09,85.97
2011/2/25,16.68,43.53,72.3,14.2,102,18.64,102.1,54.07,42.95,20.82,37.08,42.65,162.28,21.86,59.64,46.68,32.155,74.44,90.25,32.19,26.55,18.86,62.84,28.13,59.6,42.52,83.37,35.97,51.75,85.34
2011/2/28,16.85,43.57,72.01,14.29,102.93,18.56,103.75,54.87,43.74,20.92,37.47,43.63,161.88,21.47,61.44,46.69,31.96,75.68,92.23,32.57,26.58,19.24,63.05,28.38,59.93,42.58,83.54,36.92,51.98,85.53
